Company,Industry,Year,EBITDA,Total Product Impact ,Affordability ,Underserved,Health Safety,Effectiveness,Basic Need,Addiction & Monopoly,Pollutants,Recycling
Alaska,Airlines,"2,015","1,650,000,000","457,262,424","270,026,000",0,0,"234,890,502",0,"-47,654,078",0,0
Alaska,Airlines,"2,018","1,191,000,000","1,437,190,196","973,179,400",0,"-1,051,642","593,355,848",0,"-128,293,410",0,0
Alaska,Airlines,"2,017","1,696,000,000","1,222,027,342","790,303,800",0,0,"480,773,817",0,"-49,050,275",0,0
Alaska,Airlines,"2,016","1,773,000,000","960,766,624","617,669,400",0,"-525,821","390,777,228",0,"-47,154,183",0,0
American,Airlines,"2,018","5,916,000,000","-2,162,884,211",0,0,0,"338,438,880",0,"-2,501,323,091",0,0
American,Airlines,"2,015","8,893,000,000","-2,359,095,937",0,0,0,"-2,330,526,749",0,"-28,569,188",0,0
American,Airlines,"2,017","7,120,000,000","989,288,417",0,0,0,"1,346,428,924",0,"-357,140,507",0,0
American ,Airlines,"2,016","7,678,000,000","-66,755,312",0,0,"-1,051,642","-48,582,552",0,"-17,121,118",0,0
Delta,Airlines,"2,018","7,583,000,000","-896,593,778",0,0,"-2,103,284","1,613,773,383",0,"-2,508,263,877",0,0
Delta,Airlines,"2,015","8,188,000,000","473,168,764",0,0,"-525,821","474,347,051",0,"-652,466",0,0
Delta,Airlines,"2,016","7,952,000,000","521,634,815",0,0,0,"534,850,778",0,"-13,215,963",0,0
Delta,Airlines,"2,017","8,210,000,000","661,103,390",0,0,0,"1,780,426,177",0,"-1,119,322,786",0,0
JetBlue,Airlines,"2,018","1,124,000,000","434,846,633","213,318,000",0,0,"291,130,760",0,"-69,602,127",0,0
JetBlue,Airlines,"2,015","1,506,000,000","341,476,759",0,0,0,"434,061,597",0,"-92,584,838",0,0
JetBlue,Airlines,"2,016","1,621,000,000","678,549,259","342,142,500",0,"-1,051,642","408,847,989",0,"-71,389,588",0,0
JetBlue,Airlines,"2,017","1,356,000,000","635,363,447","283,440,000",0,"-1,051,642","426,990,205",0,"-74,015,116",0,0
Southwest,Airlines,"2,015","4,866,000,000","-80,195,841",0,0,0,"971,847,327",0,"-1,052,043,168",0,0
Southwest,Airlines,"2,016","4,818,000,000","424,976,993",0,0,0,"1,413,898,505",0,"-988,921,511",0,0
Southwest,Airlines,"2,017","4,383,000,000","202,187,122",0,0,0,"1,339,138,280",0,"-1,136,951,158",0,0
Southwest,Airlines,"2,018","4,201,000,000","115,576,070",0,0,"-525,821","1,459,812,748",0,"-1,343,710,857",0,0
United,Airlines,"2,015","7,218,000,000","-4,139,732,559",0,0,0,"-4,115,697,683",0,"-24,034,876",0,0
United,Airlines,"2,018","5,713,000,000","-3,073,600,748",0,0,"-2,103,284","-1,702,656,184",0,"-1,368,841,280",0,0
United,Airlines,"2,017","5,669,000,000","63,060,733","562,278,600",0,0,"-485,800,049",0,"-13,417,818",0,0
United,Airlines,"2,016","6,958,000,000","-387,056,438","736,081,500",0,0,"-1,105,570,683",0,"-17,567,255",0,0
