Company,Industry,Year,EBITDA,Total Product Impact ,Affordability ,Underserved,Health Safety,Effectiveness,Basic Need,Addiction & Monopoly,Pollutants,Recycling
Nestle,CPG,"2,018","19,946,100,000","-19,875,238,498","7,262,049,867","90,893,138","-15,628,806","-18,292,651,083",,,"-8,546,687,046","-373,214,568"
Danone,CPG,"2,018","5,259,500,000","-7,844,447,219","566,892,820","226,274,922","-268,756","-8,343,321,509",,,"-180,015,120","-114,009,576"
Kraft Heinz,CPG,"2,018","7,385,000,000","-6,203,823,958","2,476,900,443","67,337,402","-4,629,498,035","-4,002,119,531",,,"-110,580,000","-5,864,238"
Mondelez,CPG,"2,018","4,587,000,000","-6,856,267,055",0,0,"-4,442,992,223","-2,254,102,218",,,"-89,019,180","-70,153,434"
Ajinomoto,CPG,"2,018","1,361,700,000","-1,714,448,243","512,335,788",0,"-1,456,600,320","-570,415,583",,,"-149,180,058","-50,588,070"
Hormel,CPG,"2,018","1,300,100,000","-558,879,400","395,781,051","10,823,348",0,"-965,483,799",,,,
Campbell,CPG,"2,018","1,683,000,000","-1,377,305,036","8,095,079","25,813,094",0,"-1,158,178,125",,,"-187,433,442","-65,601,642"
ConAgra,CPG,"2,018","1,955,300,000","-5,938,954,177","152,118,760","89,030","-4,400,221,728","-1,690,940,238",,,,
Hershey,CPG,"2,018","2,017,700,000","-2,595,880,767","1,029,376,970",0,0,"-3,625,257,737",,,,
Kellogg,CPG,"2,018","2,405,000,000","-1,113,238,419","1,323,190,694","2,993,922","-255,919,681","-1,560,633,574",,,"-470,090,400","-152,779,380"
General Mills,CPG,"2,018","3,319,000,000","2,594,413,865","3,079,289,863","72,888,460","-30,711,659","-328,271,000",,,"-150,024,000","-48,757,800"
BMW GROUP,Auto,"2,018","14,646,100,000","-344,794,723",0,"160,140,594","216,977,836","448,838,806",,,"-1,430,809,846","260,057,887"
DAIMLER,Auto,"2,018","16,744,700,000","-274,006,578",0,"63,709,999","218,902,833","949,357,227",,,"-1,792,414,860","286,438,223"
FIAT CHRYSLER AUTOMOBILES,Auto,"2,018","11,711,000,000","-2,918,678,750",0,"181,792,806","119,401,077","-348,732,239",,,"-3,326,236,906","455,096,513"
FORD MOTOR COMPANY,Auto,"2,018","13,467,000,000","-1,505,550,221",0,"385,073,768","1,345,427,556","200,353,181",,,"-4,016,867,387","580,462,661"
GENERAL MOTORS,Auto,"2,018","13,046,000,000","-976,685,039",0,"1,110,986,327","2,177,124,477","375,748,909",,,"-5,480,022,773","839,478,021"
HONDA MOTOR COMPANY,Auto,"2,018","15,150,600,000","3,689,524,428","1,343,172,078","563,672,204","2,876,489,151","1,089,486,047",,,"-2,664,388,819","481,093,768"
HYUNDAI MOTOR COMPANY,Auto,"2,018","4,219,500,000","2,789,150,602","2,754,013,845","490,660,182","1,495,618,531","102,213,973",,,"-2,465,983,401","412,627,472"
KIA MOTORS,Auto,"2,018","2,705,100,000","1,300,503,078","1,702,921,419","187,848,575","689,376,583",0,,,"-1,521,254,166","241,610,668"
MAZDA,Auto,"2,018","2,209,300,000","744,907,560","375,383,294","137,105,709","842,077,129","85,807,687",,,"-855,843,645","160,377,385"
NISSAN MOTOR COMPANY,Auto,"2,018","9,128,300,000","234,819,026","1,952,120,617","185,224,549","377,612,729","266,607,138",,,"-3,052,594,380","505,848,373"
GROUPE PSA,Auto,"2,018","7,495,000,000","1,385,341,099","906,612,683","171,831,870","1,195,260,650",,,,"-1,205,827,139","317,463,034"
SUBARU,Auto,"2,018","4,549,000,000","403,569,752",0,"16,854,049","502,946,733","309,708,634",,,"-524,338,002","98,398,339"
TESLA,Auto,"2,018","1,648,000,000","124,099,382",0,"12,491,380","82,412,215",,,,0,"29,195,788"
TOYOTA MOTOR CORPORATION,Auto,"2,018","39,134,900,000","612,073,238",0,"315,683,941","2,447,078,492","2,135,900,654",,,"-5,282,034,297","995,444,450"
VOLKSWAGEN GROUP,Auto,"2,018","37,437,100,000","913,566,172",0,"562,397,637","4,133,097,402","1,991,051,528",,,"-6,662,041,157","889,060,763"
Capital One,Finance,"2,018","4,839,419,219","3,894,915,881","3,668,497,529","1,067,364,968","-864,459,314","30,521,831",,"-796,977",,"-6,212,156"
Synchrony,Finance,"2,018","3,364,503,741","-1,615,074,169","18,886,598","125,842,778","-1,062,845,730","-688,116,000",,"-805,125",,"-8,036,690"
Discover,Finance,"2,018","3,014,384,746","2,419,680,953","1,543,376,538","1,665,491,016","-1,092,502,494","309,225,000",,"-197,124",,"-5,711,983"
American Express,Finance,"2,018","4,969,504,933","-488,771,497",0,0,"-950,621,905","476,180,000",,"-2,925,634",,"-11,403,958"
American,Airlines,"2,018","5,916,000,000","-2,162,884,211",0,0,0,"338,438,880",0,"-2,501,323,091",0,0
Delta,Airlines,"2,018","7,583,000,000","-896,593,778",0,0,"-2,103,284","1,613,773,383",0,"-2,508,263,877",0,0
United,Airlines,"2,018","5,713,000,000","-3,073,600,748",0,0,"-2,103,284","-1,702,656,184",0,"-1,368,841,280",0,0
Southwest,Airlines,"2,018","4,201,000,000","115,576,070",0,0,"-525,821","1,459,812,748",0,"-1,343,710,857",0,0
Alaska,Airlines,"2,018","1,191,000,000","1,437,190,196","973,179,400",0,"-1,051,642","593,355,848",0,"-128,293,410",0,0
JetBlue,Airlines,"2,018","1,124,000,000","434,846,633","213,318,000",0,0,"291,130,760",0,"-69,602,127",0,0
American Water,Water Utilities,"2,018","1,684,000,000","-2,569,580,353",,"7,129,973","-170,887,500","-3,514,564,830","1,108,742,004",,,
Sabesp,Water Utilities,"2,018","1,207,500,000","668,087,308",,"60,339,093",0,"-1,380,067,806","1,987,816,022",,,
Severn Trent,Water Utilities,"2,018","1,153,500,000","248,390,112",,"8,875,739",0,"-473,248,343","712,762,717",,,
United Utilities,Water Utilities,"2,018","1,424,100,000","64,262,673",,"7,200,000",0,"-513,147,501","570,210,174",,,
