Company,Industry,Year,EBITDA,TotalProductImpact_Calculated,Affordability_Calculated,Underserved_Calculated,HealthSafety_Calculated,Effectiveness_Calculated,BasicNeed_Calculated,Addiction_Calculated,Pollutants_Calculated,Recycling_Calculated
Nestle,CPG,2018,19946100000,-19875238498,7262049867,90893138,-15628806,-18292651083,0,0,-8546687046,-373214568
Danone,CPG,2018,5259500000,-7844447219,566892820,226274922,-268756,-8343321509,0,0,-180015120,-114009576
Kraft Heinz,CPG,2018,7385000000,-6203823958,2476900443,67337402,-4629498035,-4002119531,0,0,-110580000,-5864238
Mondelez,CPG,2018,4587000000,-6856267055,0,0,-4442992223,-2254102218,0,0,-89019180,-70153434
Ajinomoto,CPG,2018,1361700000,-1714448243,512335788,0,-1456600320,-570415583,0,0,-149180058,-50588070
Hormel,CPG,2018,1300100000,-558879400,395781051,10823348,0,-965483799,0,0,0,0
Campbell,CPG,2018,1683000000,-1377305036,8095079,25813094,0,-1158178125,0,0,-187433442,-65601642
ConAgra,CPG,2018,1955300000,-5938954177,152118760,89030,-4400221728,-1690940238,0,0,0,0
Hershey,CPG,2018,2017700000,-2595880767,1029376970,0,0,-3625257737,0,0,0,0
Kellogg,CPG,2018,2405000000,-1113238419,1323190694,2993922,-255919681,-1560633574,0,0,-470090400,-152779380
General Mills,CPG,2018,3319000000,2594413865,3079289863,72888460,-30711659,-328271000,0,0,-150024000,-48757800
BMW GROUP,Auto,2015,15091600000,-518311961,0,145526310,400486139,0,0,0,-1298553973,234229564
BMW GROUP,Auto,2016,15142400000,609476153,0,156531492,307589027,1297378889,0,0,-1400001285,247978030
BMW GROUP,Auto,2017,15716600000,-96777984,0,163433039,255101466,658928501,0,0,-1428141246,253900255
BMW GROUP,Auto,2018,14646100000,-344794723,0,160140594,216977836,448838806,0,0,-1430809846,260057887
DAIMLER,Auto,2015,19800300000,-154241322,0,121359841,38560830,955210770,0,0,-1497677638,228304875
DAIMLER,Auto,2016,19854700000,-1193350722,0,104571159,-460280215,537435168,0,0,-1628109778,253032945
DAIMLER,Auto,2017,19848800000,-236962557,0,113465865,-353224432,1530713274,0,0,-1809307022,281389758
DAIMLER,Auto,2018,16744700000,-274006578,0,63709999,218902833,949357227,0,0,-1792414860,286438223
FIAT CHRYSLER AUTOMOBILES,Auto,2015,9022300000,-3914742226,0,181742823,,-1281860695,0,0,-3253812826,439188473
FIAT CHRYSLER AUTOMOBILES,Auto,2016,10723100000,-2611879820,0,158998274,277975053,-196292794,0,0,-3289552858,436992505
FIAT CHRYSLER AUTOMOBILES,Auto,2017,11770100000,-2970511621,0,181792806,323835439,-507087491,0,0,-3416447927,447395552
FIAT CHRYSLER AUTOMOBILES,Auto,2018,11711000000,-2918678750,0,181792806,119401077,-348732239,0,0,-3326236906,455096513
FORD MOTOR COMPANY,Auto,2015,16017000000,-1311390580,0,487019915,1888113339,0,0,0,-4370204624,683680790
FORD MOTOR COMPANY,Auto,2016,13080000000,-311049080,0,496174774,2033094485,865624837,0,0,-4382370124,676426948
FORD MOTOR COMPANY,Auto,2017,15168000000,-999525538,0,477616719,2219350591,0,0,0,-4343346459,646853610
FORD MOTOR COMPANY,Auto,2018,13467000000,-1505550221,0,385073768,1345427556,200353181,0,0,-4016867387,580462661
GENERAL MOTORS,Auto,2015,14233000000,-1812428553,0,1190050385,2520514159,146501931,0,0,-6732095792,1062600765
GENERAL MOTORS,Auto,2016,15089000000,-655887844,0,1174828282,2462055525,1358234869,0,0,-6724259478,1073252958
GENERAL MOTORS,Auto,2017,14948000000,-125883391,0,1212997137,2257011713,1742671361,0,0,-6310704596,972140994
GENERAL MOTORS,Auto,2018,13046000000,-976685039,0,1110986327,2177124477,375748909,0,0,-5480022773,839478021
HONDA MOTOR COMPANY,Auto,2015,11094100000,528000346,700867583,448484051,1205610217,245249865,0,0,-2504745958,432534588
HONDA MOTOR COMPANY,Auto,2016,9811500000,3840044157,712239230,501193423,3076683493,1787103639,0,0,-2684251360,447075732
HONDA MOTOR COMPANY,Auto,2017,12103000000,3033151724,1195269676,549358883,2954727681,525084043,0,0,-2659450397,468161839
HONDA MOTOR COMPANY,Auto,2018,15150600000,3689524428,1343172078,563672204,2876489151,1089486047,0,0,-2664388819,481093768
HYUNDAI MOTOR COMPANY,Auto,2015,7319800000,2708643482,3388100079,,1579804381,108049620,0,0,-2816329601,449019002
HYUNDAI MOTOR COMPANY,Auto,2016,7481400000,2552312713,2871354207,,1718042445,217793854,0,0,-2701240059,446362267
HYUNDAI MOTOR COMPANY,Auto,2017,6013200000,3071892933,2544459362,475648008,1370833326,720704981,0,0,-2445945887,406193143
HYUNDAI MOTOR COMPANY,Auto,2018,4219500000,2789150602,2754013845,490660182,1495618531,102213973,0,0,-2465983401,412627472
KIA MOTORS,Auto,2015,3305000000,1830443630,2228354525,170244682,962441042,-117676393,0,0,-1657168120,244247895
KIA MOTORS,Auto,2016,3629500000,2016152369,2420184327,194732048,870404464,0,0,0,-1729824028,260655559
KIA MOTORS,Auto,2017,2202700000,2239108028,2050808222,163035540,971969509,347656044,0,0,-1528658432,234297145
KIA MOTORS,Auto,2018,2705100000,1300503078,1702921419,187848575,689376583,0,0,0,-1521254166,241610668
