Company,Industry,Ebitda,Total Product Impact ,Affordability,Underserved,Health Safety,Effectiveness,Basic Need,Monopoly And Addiction,Pollutants Coefficient,Recycling Recovery Waste
Nestle,CPG,"19,946,100,000","-19,875,238,498","7,262,049,867","90,893,138","-15,628,806","-18,292,651,083",,,"-8,546,687,046","-373,214,568"
Danone,CPG,"5,259,500,000","-7,844,447,219","566,892,820","226,274,922","-268,756","-8,343,321,509",,,"-180,015,120","-114,009,576"
Kraft Heinz,CPG,"7,385,000,000","-6,203,823,958","2,476,900,443","67,337,402","-4,629,498,035","-4,002,119,531",,,"-110,580,000","-5,864,238"
Mondelez,CPG,"4,587,000,000","-6,856,267,055",0,0,"-4,442,992,223","-2,254,102,218",,,"-89,019,180","-70,153,434"
Ajinomoto,CPG,"1,361,700,000","-1,714,448,243","512,335,788",0,"-1,456,600,320","-570,415,583",,,"-149,180,058","-50,588,070"
Hormel,CPG,"1,300,100,000","-558,879,400","395,781,051","10,823,348",0,"-965,483,799",,,,
Campbell,CPG,"1,683,000,000","-1,377,305,036","8,095,079","25,813,094",0,"-1,158,178,125",,,"-187,433,442","-65,601,642"
ConAgra,CPG,"1,955,300,000","-5,938,954,177","152,118,760","89,030","-4,400,221,728","-1,690,940,238",,,,
Hershey,CPG,"2,017,700,000","-2,595,880,767","1,029,376,970",0,0,"-3,625,257,737",,,,
Kellogg,CPG,"2,405,000,000","-1,113,238,419","1,323,190,694","2,993,922","-255,919,681","-1,560,633,574",,,"-470,090,400","-152,779,380"
BMW GROUP,Auto,"14,646,100,000","-344,794,723",0,"160,140,594","216,977,836","448,838,806",,,"-1,430,809,846","260,057,887"
DAIMLER,Auto,"16,744,700,000","-274,006,578",0,"63,709,999","218,902,833","949,357,227",,,"-1,792,414,860","286,438,223"
FIAT CHRYSLER AUTOMOBILES,Auto,"11,711,000,000","-2,918,678,750",0,"181,792,806","119,401,077","-348,732,239",,,"-3,326,236,906","455,096,513"
FORD MOTOR COMPANY,Auto,"13,467,000,000","-1,505,550,221",0,"385,073,768","1,345,427,556","200,353,181",,,"-4,016,867,387","580,462,661"
GENERAL MOTORS,Auto,"13,046,000,000","-976,685,039",0,"1,110,986,327","2,177,124,477","375,748,909",,,"-5,480,022,773","839,478,021"
Synchrony,Finance,"3,364,503,741","-1,615,074,169","18,886,598","125,842,778","-1,062,845,730","-688,116,000",,"-805,125",,"-8,036,690"
American Express,Finance,"4,969,504,933","-488,771,497",0,0,"-950,621,905","476,180,000",,"-2,925,634",,"-11,403,958"
American,Airlines,"5,916,000,000","-2,162,884,211",0,0,0,"338,438,880",0,"-2,501,323,091",0,0
Delta,Airlines,"7,583,000,000","-896,593,778",0,0,"-2,103,284","1,613,773,383",0,"-2,508,263,877",0,0
United,Airlines,"5,713,000,000","-3,073,600,748",0,0,"-2,103,284","-1,702,656,184",0,"-1,368,841,280",0,0
American Water,Water Utilities,"1,684,000,000","-2,569,580,353",,"7,129,973","-170,887,500","-3,514,564,830","1,108,742,004",,,
