_mb_row_id,Year,Company,Industry,Total Product Impact 
1,"2,018",Nestle,CPG,"-19,875,238,498"
2,"2,018",Danone,CPG,"-7,844,447,219"
3,"2,018",Kraft Heinz,CPG,"-6,203,823,958"
4,"2,018",Mondelez,CPG,"-6,856,267,055"
5,"2,018",Ajinomoto,CPG,"-1,714,448,243"
6,"2,018",Hormel,CPG,"-558,879,400"
7,"2,018",Campbell,CPG,"-1,377,305,036"
8,"2,018",ConAgra,CPG,"-5,938,954,177"
9,"2,018",Hershey,CPG,"-2,595,880,767"
10,"2,018",Kellogg,CPG,"-1,113,238,419"
11,"2,018",General Mills,CPG,"2,594,413,865"
12,"2,015",BMW GROUP,Auto,"-518,311,961"
13,"2,016",BMW GROUP,Auto,"609,476,153"
14,"2,017",BMW GROUP,Auto,"-96,777,984"
15,"2,018",BMW GROUP,Auto,"-344,794,723"
16,"2,015",DAIMLER,Auto,"-154,241,322"
17,"2,016",DAIMLER,Auto,"-1,193,350,722"
18,"2,017",DAIMLER,Auto,"-236,962,557"
19,"2,018",DAIMLER,Auto,"-274,006,578"
20,"2,015",FIAT CHRYSLER AUTOMOBILES,Auto,"-3,914,742,226"
21,"2,016",FIAT CHRYSLER AUTOMOBILES,Auto,"-2,611,879,820"
22,"2,017",FIAT CHRYSLER AUTOMOBILES,Auto,"-2,970,511,621"
23,"2,018",FIAT CHRYSLER AUTOMOBILES,Auto,"-2,918,678,750"
24,"2,015",FORD MOTOR COMPANY,Auto,"-1,311,390,580"
25,"2,016",FORD MOTOR COMPANY,Auto,"-311,049,080"
26,"2,017",FORD MOTOR COMPANY,Auto,"-999,525,538"
27,"2,018",FORD MOTOR COMPANY,Auto,"-1,505,550,221"
28,"2,015",GENERAL MOTORS,Auto,"-1,812,428,553"
29,"2,016",GENERAL MOTORS,Auto,"-655,887,844"
30,"2,017",GENERAL MOTORS,Auto,"-125,883,391"
31,"2,018",GENERAL MOTORS,Auto,"-976,685,039"
32,"2,015",HONDA MOTOR COMPANY,Auto,"528,000,346"
33,"2,016",HONDA MOTOR COMPANY,Auto,"3,840,044,157"
34,"2,017",HONDA MOTOR COMPANY,Auto,"3,033,151,724"
35,"2,018",HONDA MOTOR COMPANY,Auto,"3,689,524,428"
36,"2,015",HYUNDAI MOTOR COMPANY,Auto,"2,708,643,482"
37,"2,016",HYUNDAI MOTOR COMPANY,Auto,"2,552,312,713"
38,"2,017",HYUNDAI MOTOR COMPANY,Auto,"3,071,892,933"
39,"2,018",HYUNDAI MOTOR COMPANY,Auto,"2,789,150,602"
40,"2,015",KIA MOTORS,Auto,"1,830,443,630"
41,"2,016",KIA MOTORS,Auto,"2,016,152,369"
42,"2,017",KIA MOTORS,Auto,"2,239,108,028"
43,"2,018",KIA MOTORS,Auto,"1,300,503,078"
44,"2,015",MAZDA,Auto,"731,549,715"
45,"2,016",MAZDA,Auto,"758,272,124"
46,"2,017",MAZDA,Auto,"778,879,131"
47,"2,018",MAZDA,Auto,"744,907,560"
48,"2,015",NISSAN MOTOR COMPANY,Auto,"-261,703,812"
49,"2,016",NISSAN MOTOR COMPANY,Auto,"599,869,953"
50,"2,017",NISSAN MOTOR COMPANY,Auto,"-29,052,073"
51,"2,018",NISSAN MOTOR COMPANY,Auto,"234,819,026"
52,"2,015",GROUPE PSA,Auto,"678,632,129"
53,"2,016",GROUPE PSA,Auto,"2,154,681,725"
54,"2,017",GROUPE PSA,Auto,"2,098,484,504"
55,"2,018",GROUPE PSA,Auto,"1,385,341,099"
56,"2,015",SUBARU,Auto,"377,549,243"
57,"2,016",SUBARU,Auto,"542,308,768"
58,"2,017",SUBARU,Auto,"491,599,981"
59,"2,018",SUBARU,Auto,"403,569,752"
60,"2,018",TESLA,Auto,"124,099,382"
61,"2,015",TOYOTA MOTOR CORPORATION,Auto,"90,011,823"
62,"2,016",TOYOTA MOTOR CORPORATION,Auto,"1,399,361,131"
